name,spider_type,spider,job_id,captcha_failures_count,captcha_requests_count,captcha_sucesses_count,download_exceptions_count,request_bytes,request_count,response_bytes,response_count,response_200_count,response_301_count,response_302_count,response_307_count,response_400_count,response_403_count,response_404_count,response_405_count,response_407_count,response_408_count,response_410_count,response_500_count,response_502_count,response_503_count,response_504_count,request_filtered_count,items_scraped_count,items_dropped_count,requests_dequeued_count,requests_enqueued_count,total_inserted,created,modified
obit-alaskahighwaynews,OBIT,obitLegacy,9b013c5d-f455-4429-a426-814f2f6eee4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-timessentinel,OBIT,obit-adperfect,9d9f2965-b87f-4424-af8b-f5772e0b7b81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-moodyconnollyfuneralhomecremat,FUN,frontrunnernew,9edd7ce6-a68d-467d-b907-5827027a9122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-baskervillefuneralhome,FUN,batesville,a08bfe7d-fae8-4e0f-9146-086d1871fdb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-rossroden,FUN,batesville,a1fbc907-2ac9-4ca8-ae97-aa834bcd83e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-tamispinevalleyfuneralhomeandc,FUN,CFSlistings,a2d87030-6702-4d0d-84e1-ef024a780ff2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonnh,WEDS,amazonwed,a4b0589e-2749-4783-8732-02c46d685f85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-fredyoungfuneralhome,FUN,funeraltech,a4d64273-c33a-4e8b-9224-eee9988af385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-lacombeexpress,OBIT,blackpress,a55e344a-f5ae-4a54-91af-7749e5352b43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-enterpriseledger,WEDS,bloxwed,a726d53c-9ea5-4bcb-a54b-3c7d08cb24a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-craigslistny-fingerlakes,FSBO,craigslist_scrapy,a8ab820f-758f-41cd-9df7-4b0a9cea6cac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonin,WEDS,amazonwed,abe04823-deaa-4e05-84bb-c691bc5956a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
